,step,adult,child,limited_mobility,elder,employee
0,1,0,0,0,0,1
1,2,0,1,0,0,1
2,3,0,1,0,0,2
3,4,0,1,0,0,2
4,5,0,1,0,0,2
5,6,0,1,0,0,2
6,7,0,1,0,0,2
7,8,0,1,0,0,2
8,9,0,1,0,0,2
9,10,0,1,0,0,2
10,11,0,1,0,0,2
11,12,0,1,0,0,2
12,13,0,1,0,0,2
13,14,1,1,0,0,2
14,15,1,1,0,0,2
15,16,1,1,0,0,2
16,17,1,1,0,0,2
17,18,1,1,0,0,2
18,19,1,1,0,0,2
19,20,1,1,0,0,2
20,21,1,1,0,0,2
21,22,1,1,0,0,2
22,23,1,1,0,0,2
23,24,1,1,0,0,2
24,25,1,1,0,0,2
25,26,2,1,0,0,2
26,27,3,1,0,0,2
27,28,3,1,0,0,2
28,29,3,1,0,0,2
29,30,3,1,0,0,2
30,31,3,1,0,0,3
31,32,3,1,0,0,3
32,33,3,1,0,0,3
33,34,3,1,0,0,3
34,35,3,1,0,0,3
35,36,3,1,0,0,4
36,37,3,1,0,0,4
37,38,3,1,0,0,4
38,39,3,1,0,0,4
39,40,3,1,0,0,4
40,41,3,1,0,0,4
41,42,3,1,0,0,4
42,43,3,1,0,0,4
43,44,3,1,0,0,4
44,45,3,1,0,0,4
45,46,3,1,0,0,4
46,47,3,1,0,0,4
47,48,3,1,0,0,4
48,49,3,1,0,0,4
49,50,3,2,0,0,4
50,51,3,2,0,0,4
51,52,3,2,0,0,4
52,53,3,2,0,0,4
53,54,3,2,0,0,4
54,55,4,2,0,0,4
55,56,4,2,0,0,4
56,57,4,2,0,0,4
57,58,4,2,0,1,4
58,59,4,2,0,1,4
59,60,4,2,0,1,4
60,61,4,2,0,1,4
61,62,5,2,0,1,4
62,63,5,2,0,1,4
63,64,5,2,0,1,4
64,65,5,2,0,1,4
65,66,5,2,0,1,4
66,67,6,2,0,1,4
67,68,6,2,0,1,4
68,69,6,2,0,1,4
69,70,6,3,0,1,4
70,71,6,3,0,1,4
71,72,6,3,0,1,4
72,73,6,3,0,1,4
73,74,6,3,0,1,4
74,75,6,3,0,1,4
75,76,6,3,0,1,4
76,77,6,3,0,1,4
77,78,6,3,0,1,4
78,79,6,3,0,1,4
79,80,6,3,0,1,4
80,81,6,3,0,1,4
81,82,6,3,0,1,4
82,83,6,3,0,1,4
83,84,6,3,0,1,4
84,85,6,3,0,1,4
85,86,6,3,0,1,4
86,87,6,3,0,1,4
87,88,6,3,0,1,4
88,89,6,3,0,1,4
89,90,6,3,0,1,4
90,91,6,3,0,1,4
91,92,6,3,0,1,4
92,93,6,3,0,1,4
93,94,6,3,0,1,4
94,95,6,3,0,1,4
95,96,6,3,0,1,4
96,97,6,3,0,1,4
97,98,6,3,0,1,4
98,99,6,3,0,1,4
99,100,6,4,0,1,4
